tier,name,director,phone1,phone2,city,spyur_url,website,facebook,staff,founded,updated,flag
"D","ԷՅ ՍԻ ԷՅ ՓԱՐԹՆԵՐՍ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ ՍՊԸ","Ղևոնդ Գալստյան, տնօրեն","+37491219746","","Երևան","https://spyur.am/am/companies/aca-partners-accounting-company/85402","","","","2005","04.03.2026","call"
"D","ԷՅ ՍԻ ՍԻ ԹՐԱՍԹ ՍՊԸ","","+37493426872","","Երևան","https://spyur.am/am/companies/acc-trust/38988","","https://www.facebook.com/acctrust2016/?fref=ts","","","13.01.2026","call"
"D","ԷՅ ՍԻ ՍԻ ՍՊԸ","Խորեն Նալբանդյան, տնօրեն","+37444060619","+37498882944","Երևան","https://spyur.am/am/companies/acc/48848","","https://www.facebook.com/accaccountantam","","","31.08.2026","call"
"D","ԷՅ ՔԵՅ ԸՔԱՈՒՆԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Էդուարդ Պողոսյան, տնօրեն","+37494311920","","Երևան","https://spyur.am/am/companies/ak-accounting-accounting-company/40544","","https://www.facebook.com/EDACCOUNTANT","","","08.04.2026","call"
"D","ԷՅՉ ՋԻ ԳՐՈՒՊ ՍՊԸ","","+37494210888","+37499282646","Երևան","https://spyur.am/am/companies/hg-group/49802","","https://www.facebook.com/AccountingFirm.HG.GROUP.LLC","","","01.03.2026","call"
"D","ԷՅՋ ԷՅ ԷԼ ՔՈՆՍԱԼԹ ՀԱՇՎԱՊԱՀԱԿԱՆ ԳՐԱՍԵՆՅԱԿ","Հասմիկ Հարությունյան, տնօրեն","+37410571685","+37495571685","Երևան","https://spyur.am/am/companies/hal-consult-accounting-office/39511","","https://www.facebook.com/HAL-Consult-1492792704068514/?fref=ts","","","15.09.2026","call"
"D","ԷՅՋ ԷՅ ԸՔԱՈՒՆԹԻՆԳ","Հարություն Գևորգյան, տնօրեն","+37491600160","+37441250633","Երևան","https://spyur.am/am/companies/ha-accounting/50805","","https://www.facebook.com/HAAccountingCompany","","","06.02.2026","call"
"D","ԷՅՋ-ԲԻ ԸՔԱՈՒՆԹԻՆԳ ՍՊԸ","Նարինե Խաչատրյան, տնօրեն","+37496777732","","Երևան","https://spyur.am/am/companies/hb-accounting/32063","","https://www.facebook.com/www.hbaccounting.am","","","21.07.2026","call"
"D","ԷՅՋ-ՓԻ-ԷՆ ՓՐՈՋԵՔԹ ՍՊԸ","Ստեփան Նալբանդյան, տնօրեն","+37494848804","","Երևան","https://spyur.am/am/companies/hpn-project/6670","","https://www.facebook.com/hpnprojectllc","<15","2008","05.05.2026","call"
"D","ԷՅՎԻ ՔՈՆՍԱԼԹԻՆԳ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Վիրաբ Աբրահամյան, տնօրեն","+37493090371","+37444808701","Երևան","https://spyur.am/am/companies/av-consulting-accounting-company/45670","","https://www.facebook.com/AVconsultingLLC","","","02.02.2026","call"
"D","ԷՆ ՋԻ ԲԻԶՆԵՍ ՀԱՇՎԱՊԱՀԱԿԱՆ ԸՆԿԵՐՈՒԹՅՈՒՆ","Նունե Ղազարյան, տնօրեն","+37491491769","","Երևան","https://spyur.am/am/companies/ng-business-accounting-company/26213","","https://www.facebook.com/NGbusinessSolutionsLLC","","","20.01.2026","call"
"D","ԷՆ ՋԻ ՅՈՒ ՍՊԸ","Նունե Յուրիի Ղահրամանյան, տնօրեն","+37491565742","","Երևան","https://spyur.am/am/companies/ngu/21829","","","","","13.07.2026","call"
"D","ԷՍ ԷՄ ԸՔԱՈՒՆԹԻՆԳ ՍՊԸ","Սուրեն Մելիքբեկյան, տնօրեն","+37411468282","","Երևան","https://spyur.am/am/companies/sm-accounting/49434","http://smaccounting.am/","https://www.facebook.com/SM-Accounting-107836105047923","","","18.09.2026","call"
"D","ԷՍ ԷՅՋ ԸՔԱՈՒՆԹԻՆԳ ՍԵՐՎԻՍԻԶ","Շուշանիկ Հարությունյան, ղեկավար","+37433747759","+37499747759","Երևան","https://spyur.am/am/companies/sh-accounting-services/53020","","","","","16.07.2026","call"
